t_ms i_pApF mV
38.3000000000029 -1.61870899807993 -75.448774570751
38.3999999999942 -1.64855895815669 -75.4487184366731
38.5 -1.63860889475318 -75.4486623025952
38.6000000000058 -1.63860889475318 -75.4486061685174
38.6999999999971 -1.64358392645493 -75.4485500344394
38.8000000000029 -1.67840880316657 -75.4484939003616
38.8999999999942 -1.68338371980144 -75.4484377662837
39 -1.64358392645493 -75.4433295651958
39.1000000000058 -1.65850890649332 -75.443273261574
39.1999999999971 -1.63860889475318 -75.4432169579523
39.3000000000029 -1.64855895815669 -75.4431606543305
39.3999999999942 -1.63860889475318 -75.4431043507088
39.5 -1.65353387479156 -75.443048047087
39.6000000000058 -1.66348382312819 -75.4429917434653
39.6999999999971 -1.69333366813807 -75.4429354398435
39.8000000000029 -1.67343377146482 -75.4428791362218
39.8999999999942 -1.66348382312819 -75.4428228326
40 -1.71820859651308 -75.4376992030209
40.1000000000058 -1.65353387479156 -75.4376427518509
40.1999999999971 -1.7032836164747 -75.437586300681
40.3000000000029 -1.64855895815669 -75.4375298495111
40.3999999999942 -1.62368402978168 -75.4374733983412
40.5 -1.66845885482994 -75.4374169471713
40.6000000000058 -1.69333366813807 -75.4373604960014
40.6999999999971 -1.64855895815669 -75.4373040448314
40.8000000000029 -1.63860889475318 -75.4372475936615
40.8999999999942 -1.66348382312819 -75.4371911424916
41 -1.71323356481132 -75.4320540860294
41.1000000000058 -1.63363397811831 -75.4319975077431
41.1999999999971 -1.62368402978168 -75.4319409294568
41.3000000000029 -1.63363397811831 -75.4318843511705
41.3999999999942 -1.64855895815669 -75.4318277728843
41.5 -1.62865894641655 -75.431771194598
41.6000000000058 -1.62368402978168 -75.4317146163117
41.6999999999971 -1.67840880316657 -75.4316580380255
41.8000000000029 -1.64855895815669 -75.4316014597392
41.8999999999942 -1.63363397811831 -75.4315448814529
42 -1.63363397811831 -75.4263962574025
42.1000000000058 -1.66348382312819 -75.4263395709686
42.1999999999971 -1.63860889475318 -75.4262828845347
42.3000000000029 -1.63860889475318 -75.4262261981008
42.3999999999942 -1.62368402978168 -75.4261695116669
42.5 -1.59880910140667 -75.426112825233
42.6000000000058 -1.67840880316657 -75.4260561387991
42.6999999999971 -1.64855895815669 -75.4259994523652
42.8000000000029 -1.61373408144505 -75.4259427659313
42.8999999999942 -1.65850890649332 -75.4258860794974
43 -1.63363397811831 -75.4207276140128
43.1000000000058 -1.60378413310843 -75.4206708370301
43.1999999999971 -1.64358392645493 -75.4206140600475
43.3000000000029 -1.65353387479156 -75.4205572830648
43.3999999999942 -1.5938341847718 -75.4205005060821
43.5 -1.62368402978168 -75.4204437290994
43.6000000000058 -1.66845885482994 -75.4203869521168
43.6999999999971 -1.5938341847718 -75.4203301751341
43.8000000000029 -1.64358392645493 -75.4202733981514
43.8999999999942 -1.64855895815669 -75.4202166211687
44 -1.58885915307004 -75.4150499157455
44.1000000000058 -1.6883587515032 -75.4149930645299
44.1999999999971 -1.58388423643517 -75.4149362133143
44.3000000000029 -1.65353387479156 -75.4148793620987
44.3999999999942 -1.66348382312819 -75.4148225108831
44.5 -1.61870899807993 -75.4147656596674
44.6000000000058 -1.65353387479156 -75.4147088084518
44.6999999999971 -1.67840880316657 -75.4146519572362
44.8000000000029 -1.6087590497433 -75.4145951060206
44.8999999999942 -1.62368402978168 -75.414538254805
45 -1.68338371980144 -75.4093647941845
45.1000000000058 -1.65353387479156 -75.40930788385
45.1999999999971 -1.61870899807993 -75.4092509735156
45.3000000000029 -1.59880910140667 -75.4091940631811
45.3999999999942 -1.60378413310843 -75.4091371528467
45.5 -1.62865894641655 -75.4090802425122
45.6000000000058 -1.67840880316657 -75.4090233321778
45.6999999999971 -1.66845885482994 -75.4089664218433
45.8000000000029 -1.6087590497433 -75.4089095115088
45.8999999999942 -1.66348382312819 -75.4088526011744
46 -1.60378413310843 -75.403673760739
46.1000000000058 -1.66348382312819 -75.403616805274
46.1999999999971 -1.63860889475318 -75.403559849809
